Product,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015
CHICKENBREASTS1KG,687.0,1877.8,2084.8,1534.72,426.24,1231.36,1847.04,2604.8,1515.52,2225.92,2131.2,947.2,1562.88,1894.4,1657.6,1799.68,1326.08,1562.88,1515.52,1704.96,2135.68,1728.0,3648.0,2856.0,4200.0,4760.0,4368.0,4760.0,3528.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
QUINOAWHITEORGANIC454G,51.9,51.9,51.9,51.9,51.9,51.89999999999999,51.90000000000001,51.9,51.90000000000001,51.9,57.56761904761907,57.56761904761907,57.56761904761907,57.56761904761907,57.75,57.75,57.75,82.0,82.0,82.56756756756756,79.55555555555556,82.57894736842105,82.0,81.27272727272727,82.0,80.22063492063492,81.20833333333333,83.43857142857142,87.98965517241379,92.0,184.0,184.0,184.0,184.0,93.94444444444444,95.0
WHOLECHICKEN1KG,727.0399999999997,681.6,404.78,1315.6,149.5,1345.5,2152.8,1046.5,1554.8,2362.1,1046.5,1435.2,568.1,2780.7,1046.5,1704.3,2481.7,1913.6,1823.9,1196.0,1435.2,1239.6,1920.0,1260.0,1800.0,2016.0,52.6829268292683,276.0,30.483870967741932,140.0,140.0,140.0,140.0,140.0,140.0,140.0
COCONUTOILORGANICFORCOOKING,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,3750.0,3725.0,5024.0,5664.0,472.0,888.0,888.0,888.0,444.0,2560.4,2205.5051550000007
DRIEDCRANBERRY200G,53.93,53.93,53.93,53.93,53.93,215.72,323.58,111.0,222.0,222.0,595.4,242.2,60.55,541.757,806.4,420.0,360.0,240.0,300.0,420.0,540.0,170.0,361.0,157.5,315.0,840.0,6605.0,475.0,2879.0,53.0,53.0,53.0,53.0,1166.0,614.8,106.0
INSIDECAIRODELIVERYFEE,710.0,710.0,710.0,710.0,280.0,990.0,1140.0,1240.0,1110.0,1250.0,1270.0,650.0,410.0,1139.0,820.0,800.0,708.7614120000003,730.0,640.0,720.0,900.0,1360.0,1570.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
CHICKENBREAST,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,6.24375,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,10976.0,3862.42735,1789.0
VEALESCALOPEBIFTEK1KG,510.0,510.0,509.9,1019.0,624.0,416.0,936.0,832.0,624.0,728.0,1248.0,520.0,520.0,1976.0,832.0,312.0,832.0,1248.0,416.0,416.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0
HUROMSLOWJUICER,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,5700.0,2850.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0
BEEFMINCE1KG,71.40000000000002,71.4,71.4,71.4,71.39999999999998,71.4,71.39999999999998,71.4,71.39999999999998,71.4,71.4,71.4,71.40000000000002,70.10181818181819,71.4,71.39999999999998,71.4,71.4,71.4,71.4,71.4,75.17142857142858,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
BEEFCUBESCHEMICALFREEFROZEN,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,49.0,49.0,49.0,49.0,49.55813953488372,50.0,58.0,58.0,58.0,58.0,58.0,59.361702127659576,61.310728142857144
